Name,populatiion
Tuas Bay,20
Tuas Northæ(Pioneer),20
Tuas Promenade,10
Tuas View,10
Tuas View Extensionæ(Coast),0
Tukang,10
Turf Club,660
Tyersall,3520
Ulu Pandan,10730
Upper Paya Lebar,15540
Upper Thomson,30340
Victoria,2060
Waterway East,28340
Wenya,8610
West Coast,5890
Western Water Catchment,900
Woodgrove,35850
Woodlands East,95510
Woodlands Regional Centre,0
Woodlands South,35840
Woodlands West,32890
Woodleigh,2440
Xilin,1920
Yew Tee,43710
Yio Chu Kang,30
Yio Chu Kang East,4080
Yio Chu Kang Northæ(Selatar),0
Yio Chu Kang West,26550
Yishun Central,1490
Yishun East,54880
Yishun South,38840
Yishun West,57890
Yuhua East,27460
Yuhua Westæ(Boon Lay),20870
Yunnan,70890
