Source,Target,Weight
West Coast,Hillcrest,3
Kampong Bugis,China Square,8
Farrer Court,Clarke Quay,5
Toa Payoh Central,Pasir Ris Wafer Fab Park,2
Loyang West,North-Eastern Islands,7
Boon Teck,China Square,1
Northland,Saujana,12
The Wharves,Tampines North,1
Bayshore,Fajar,6
Bayshore,Hillview,6
Bukit Batok East,Raffles Place,12
Teban Gardens,Yishun Central,4
Lavender,Paterson,6
Tuas View Extension,Toa Payoh Central,8
Clementi Woods,Hougang East,2
Oxley,Changi Point,1
Clementi North,Institution Hill,3
Kampong Glam,Margaret Drive,1
Bedok Reservoir,Waterway East,7
Jurong River,Robertson Quay,2
Trafalgar,Yuhua East,6
Marina East,Depot Road,2
Upper Paya Lebar,Pasir Ris West,6
Rochor Canal,Yio Chu Kang West,2
Alexandra Hill,Maxwell,3
Pioneer Sector,Kallang Way,3
Pasir Ris Wafer Fab Park,Guilin,3
Midview,Potong Pasir,11
Anchorvale,Tuas View,5
Faber,Bayfront Subzone,4
Trafalgar,People's Park,1
Flora Drive,Yew Tee,1
Admiralty,Tagore,2
Serangoon North Ind Estate,Senja,5
Kovan,Pioneer Sector,2
Changi Bay,Yuhua West,3
Saujana,Paya Lebar West,1
Telok Blangah Way,Xilin,5
Anson,Shangri-La,2
Queensway,Anchorvale,3
Henderson Hill,Boat Quay,9
Greenwood Park,Pasir Ris Wafer Fab Park,2
Marina South,Kembangan,9
Geylang Bahru,Wenya,4
Queensway,Ridout,6
Peng Siang,Springleaf,1
Ulu Pandan,Pasir Panjang 1,4
Fort Canning,Peng Siang,10
Mandai West,Kallang Bahru,3
Sembawang Springs,Tyersall,2
Katong,Nature Reserve,3
Central Subzone,Pei Chun,4
Mount Pleasant,Ulu Pandan,4
Senoko West,Jelebu,10
Toa Payoh West,Yishun East,5
Upper Thomson,Samulun,3
Tukang,Straits View,3
Clementi North,Lower Seletar,5
Kampong Ubi,Sembawang East,3
Kembangan,Lim Chu Kang,2
Punggol Town Centre,Hillcrest,2
Moulmein,Turf Club,4
Joo Koon,Pasir Panjang 2,1
Hong Kah,Marina South,7
Shangri-La,Pasir Panjang 1,4
Yuhua West,Ang Mo Kio Town Centre,3
Bukit Ho Swee,Mountbatten,10
City Terminals,Yishun Central,3
Malcolm,Rivervale,2
Hougang East,Tiong Bahru Station,7
City Terminals,Malcolm,1
Kampong Glam,Seletar Aerospace Park,1
Defu Industrial Park,Tukang,1
Woodlands Regional Centre,Liu Fang,2
Changi Point,Jurong West Central,7
Leedon Park,Pasir Ris West,2
Sembawang Straits,Shipyard,1
Joo Seng,Mandai Estate,3
Simpang North,Joo Koon,1
Tuas North,Kovan,2
Yishun South,Clementi West,3
Malcolm,Tanglin Halt,1
Sembawang Springs,Commonwealth,2
Punggol Town Centre,Hougang East,3
Marina East,Clementi Central,1
Yishun South,Hillview,4
Hillcrest,Sennett,1
Teck Whye,Alexandra North,3
Changi Bay,Marina East (MP),2
Choa Chu Kang North,Kim Keat,3
Plab,Bangkit,4
Peng Siang,Telok Blangah Way,1
Seletar,Yew Tee,3
Tagore,Straits View,1
Lakeside,Gali Batu,1
Benoi Sector,Paya Lebar East,3
Henderson Hill,Seletar Hills,1
Lakeside,Changi Airport,6
Telok Blangah Way,Lakeside,1
Commonwealth,Yio Chu Kang West,1
Pasir Panjang 2,Gul Basin,3
Greenwood Park,Anson,1
Istana Negara,Keat Hong,2
Benoi Sector,Tagore,4
Sembawang Springs,Holland Drive,3
Lorong Halus,Sembawang Straits,1
Greenwood Park,Malcolm,1
Lorong Halus North,Bishan East,1
Khatib,Seletar,6
Yishun East,Changi Point,4
Paya Lebar East,Yuhua East,2
Bedok South,Sembawang Hills,1
Mount Pleasant,Reservoir View,1
Bukit Batok East,Paya Lebar North,1
Tanglin,Tuas View,2
Holland Road,Straits View,1
Changi Point,Port,1
Tiong Bahru,Pioneer Sector,1
Yio Chu Kang West,Liu Fang,1
Liu Fang,Lower Seletar,1
Liu Fang,Institution Hill,1
Gul Circle,Bayfront Subzone,4
East Coast,Northland,1
Toh Guan,Lorong Halus North,1
Newton Circus,Tengeh,1
Tanglin Halt,Serangoon North,1
Turf Club,Woodleigh,1
Tuas Bay,Compassvale,1
Senja,Sembawang East,1
Bayshore,Mountbatten,48
Aljunied,Rivervale,125
Fort Canning,Geylang Bahru,19
Commonwealth,Dover,14
Guilin,Raffles Place,51
Tampines East,Penjuru Crescent,10
Hong Kah,Somerset,30
Everton Park,Everton Park,18
Moulmein,Newton Circus,6
Bangkit,Woodlands East,47
Sentosa,Kaki Bukit,24
Kampong Java,Boon Lay Place,13
Kallang Bahru,Crawford,55
North Coast,Defu Industrial Park,25
Swiss Club,National University of S'pore,21
Tukang,Telok Blangah Drive,12
Tampines East,Guilin,10
Simei,Chong Boon,25
Sengkang Town Centre,Tuas View Extension,13
Teck Whye,Tuas Promenade,12
Anchorvale,National University of S'pore,13
Tiong Bahru Station,One North,56
Serangoon Garden,North Coast,61
Holland Road,Hillview,53
Yishun East,Bras Basah,14
Tagore,Bukit Ho Swee,5
Leonie Hill,Hong Kah North,4
Woodgrove,City Terminals,18
Goodwood Park,Tukang,1
International Business Park,Singapore Polytechnic,17
Toh Tuck,Hong Kah,65
Joo Koon,Benoi Sector,100
Katong,Geylang East,208
Sembawang Straits,Changi Airport,12
Chong Boon,North Coast,39
Simei,Changi West,75
One North,Keat Hong,40
Central Subzone,Kent Ridge,7
Northshore,Punggol Field,16
Hougang West,Pasir Ris West,25
Bukit Batok South,Choa Chu Kang Central,45
Changi Airport,Telok Blangah Way,17
Ang Mo Kio Town Centre,Toh Tuck,7
Choa Chu Kang Central,Saujana,67
Katong,City Hall,38
The Wharves,Serangoon Garden,3
Defu Industrial Park,Joo Seng,30
Upper Thomson,Shangri-La,140
Leedon Park,Serangoon Garden,21
Holland Road,Fajar,18
Port,Mandai East,5
Guilin,Aljunied,20
Yishun West,Alexandra North,2
Yunnan,Keat Hong,91
Pandan,Peng Siang,9
Pasir Panjang 1,Balestier,6
Fernvale,East Coast,2
Joo Koon,North Coast,32
Crawford,Toh Guan,8
Anak Bukit,Clementi North,177
Kebun Bahru,Pasir Panjang 1,4
Guilin,Newton Circus,4
Tanglin,One North,19
Yio Chu Kang,Goodwood Park,3
Mountbatten,Bayshore,55
Liu Fang,City Terminals,19
Holland Road,Clementi West,21
Kallang Way,Bukit Batok East,5
Tiong Bahru Station,National University of S'pore,32
Choa Chu Kang Central,Jurong Island and Bukom,40
Serangoon Garden,Orange Grove,18
Bedok South,Macpherson,27
International Business Park,Toa Payoh West,10
Woodleigh,Marymount,21
Somerset,Teck Whye,18
Kampong Java,Victoria,66
Yishun South,Central Subzone,17
Sengkang West,Yishun West,13
Serangoon North Ind Estate,Woodleigh,2
Frankel,Bayshore,78
Woodlands West,Greenwood Park,20
Boulevard,Pasir Ris Central,68
Reservoir View,Upper Thomson,8
Bendemeer,Mount Pleasant,15
Tyersall,Hougang West,15
Clarke Quay,Commonwealth,6
Yishun West,Maritime Square,61
Katong,Bangkit,10
Mount Pleasant,Turf Club,1
Hong Kah,Serangoon North Ind Estate,3
Simei,Anchorvale,40
Benoi Sector,Chong Boon,4
Kent Ridge,Frankel,12
Kampong Java,Henderson Hill,15
Dhoby Ghaut,Sembawang Straits,1
Moulmein,Farrer Park,92
Waterway East,Tai Seng,32
City Terminals,Kian Teck,31
Yishun Central,Dhoby Ghaut,13
Dhoby Ghaut,Midview,29
Western Water Catchment,Guilin,55
Marina Centre,Pasir Panjang 1,10
Macpherson,Bedok South,47
Tai Seng,Bencoolen,22
Choa Chu Kang Central,Tai Seng,9
Kallang Bahru,Maxwell,4
Ridout,Institution Hill,15
Clementi North,City Terminals,21
Boulevard,Paterson,1
Potong Pasir,Tuas North,7
Benoi Sector,Anchorvale,6
Woodlands West,Faber,6
Port,North Coast,40
Tuas North,Tanglin Halt,8
Nature Reserve,Central Subzone,11
Rochor Canal,Macpherson,27
Bedok North,China Square,33
Bayshore,Central Subzone,28
Compassvale,Bishan East,37
Chong Boon,Simei,30
Telok Blangah Drive,Tukang,6
Siglap,Geylang East,39
Boon Lay Place,Sengkang Town Centre,12
Western Water Catchment,Penjuru Crescent,11
Pasir Ris Wafer Fab Park,Victoria,7
Toh Guan,Tagore,11
Tagore,Fajar,8
Chin Bee,Pasir Ris Central,4
Hong Kah North,Dairy Farm,12
Seletar Aerospace Park,Kaki Bukit,28
Bishan East,Somerset,61
Pasir Panjang 1,Midview,6
Joo Seng,Sennett,75
Compassvale,Woodlands East,17
Alexandra Hill,Mei Chin,43
Victoria,Springleaf,4
Sembawang Springs,Lower Seletar,14
Seletar Hills,Braddell,11
Jurong Gateway,Gul Basin,9
Tagore,Hillview,9
Trafalgar,Kallang Bahru,49
Upper Paya Lebar,Serangoon Garden,48
Dhoby Ghaut,Margaret Drive,11
Little India,Oxley,5
Tai Seng,Yio Chu Kang East,18
Mandai East,Serangoon Garden,9
Leonie Hill,Frankel,4
Serangoon Garden,Mandai East,13
Anchorvale,One North,33
One Tree Hill,Ghim Moh,10
Compassvale,Ang Mo Kio Town Centre,8
Yuhua West,Yio Chu Kang East,21
Leedon Park,Alexandra Hill,15
Sembawang North,Woodlands South,35
Kangkar,Chinatown,12
Kent Ridge,Fernvale,10
Kent Ridge,Bukit Batok South,10
Raffles Place,Potong Pasir,42
Admiralty,Chong Boon,4
Bedok South,Dover,17
Chong Boon,Orange Grove,8
Sembawang North,Moulmein,13
Swiss Club,One North,25
Changi Point,Tampines West,30
Yishun East,Nee Soon,19
Benoi Sector,Changi West,4
Joo Koon,Mandai East,5
Shipyard,Tampines East,7
Serangoon Central,Bayfront Subzone,41
Mountbatten,East Coast,45
City Hall,Faber,6
Xilin,Tagore,16
Serangoon Garden,Simei,41
Pasir Panjang 2,International Business Park,4
Simei,Ridout,6
Paya Lebar East,Goodwood Park,2
Kembangan,Tuas View,7
Bukit Merah,Tuas Promenade,8
Jurong River,Yishun East,13
Lorong Ah Soo,Yishun South,15
Teban Gardens,Pioneer Sector,26
Holland Drive,Phillip,12
Anchorvale,The Wharves,5
Seletar Aerospace Park,Lavender,8
Tampines North,Lorong Chuan,4
Pasir Ris West,Goodwood Park,4
Keat Hong,Kallang Way,14
Yuhua West,Boon Teck,9
Jurong West Central,Serangoon Garden,28
Leonie Hill,Fernvale,4
Tai Seng,Boon Teck,12
Mount Pleasant,Yishun West,16
National University of S'pore,Benoi Sector,9
Tuas North,Jurong Port,12
Rivervale,Seletar,16
Jurong Port,Tuas North,4
Pasir Ris Drive,Bukit Batok West,5
Pasir Panjang 1,Margaret Drive,13
Kovan,People's Park,4
Lorong Chuan,Northshore,1
Kian Teck,Bishan East,13
Bayfront Subzone,Lim Chu Kang,4
Singapore Polytechnic,Phillip,5
Admiralty,Anchorvale,5
Kampong Java,Yuhua West,33
Telok Blangah Rise,Boon Lay Place,4
China Square,Tukang,3
Lorong Ah Soo,Telok Blangah Way,4
Sembawang North,Dover,4
Faber,Senoko South,6
Pasir Ris Central,Pandan,2
Kranji,Cheng San,5
Potong Pasir,Redhill,14
Gul Basin,Clementi Woods,8
Jelebu,Yishun South,8
Clementi Central,Cecil,10
Siglap,City Hall,9
International Business Park,Yio Chu Kang,7
Sembawang East,Hougang West,1
Chatsworth,Lorong Halus North,1
Bishan East,Serangoon North Ind Estate,20
Changi West,Tiong Bahru Station,9
Boon Teck,Lorong Halus North,2
Turf Club,Waterway East,3
Cheng San,Dairy Farm,2
Farrer Park,Cairnhill,7
Marine Parade,Gul Basin,9
Tuas North,Rivervale,13
Bukit Batok South,Farrer Court,6
Bayshore,Chinatown,10
Dairy Farm,Central Subzone,14
Yuhua West,Bencoolen,7
Cairnhill,Redhill,2
Sembawang Straits,Gali Batu,1
Toh Tuck,Bukit Merah,11
West Coast,Woodlands Regional Centre,3
Farrer Court,Dhoby Ghaut,4
Bukit Batok West,Pasir Panjang 1,12
Crawford,Potong Pasir,19
Gul Circle,Senoko South,18
Holland Road,Telok Blangah Drive,16
Saujana,Nature Reserve,11
Kampong Bugis,Lorong Halus North,5
Jelebu,Mount Pleasant,8
Toa Payoh West,China Square,4
Gombak,Bayfront Subzone,3
Port,Simei,13
Aljunied,Jurong Port,6
Yio Chu Kang East,Lorong Halus North,3
Holland Road,Bukit Ho Swee,18
Queensway,Paterson,2
Lorong Halus,Woodgrove,1
Ghim Moh,Pasir Panjang 1,20
Mandai West,Fernvale,4
Dhoby Ghaut,Central Water Catchment,10
Teck Whye,Marymount,5
Central Subzone,Yio Chu Kang East,4
Raffles Place,Toh Guan,20
Tukang,Hillview,3
Woodleigh,Hougang East,4
Pasir Ris Wafer Fab Park,Yuhua West,2
Boon Keng,Little India,24
Central Water Catchment,Tuas View Extension,3
Alexandra Hill,Admiralty,4
Kranji,Tai Seng,4
Lorong Halus,Kampong Tiong Bahru,2
Serangoon Garden,Benoi Sector,7
Serangoon North,Bayshore,3
Kampong Glam,Hougang Central,3
Orange Grove,Jurong West Central,12
Penjuru Crescent,Tukang,17
Bras Basah,Everton Park,14
Telok Blangah Drive,Lorong 8 Toa Payoh,15
Institution Hill,Loyang West,1
Farrer Park,Coronation Road,9
Victoria,Telok Blangah Way,6
Tagore,Clementi West,4
Tiong Bahru Station,The Wharves,3
Dairy Farm,Mountbatten,4
Maritime Square,Lorong Halus North,2
Jurong River,Clementi Woods,8
Goodwood Park,Lorong 8 Toa Payoh,2
Bencoolen,Pasir Panjang 1,4
Chinatown,Kangkar,12
Tuas Promenade,Peng Siang,19
Pasir Ris Drive,Malcolm,4
Faber,Woodlands West,2
Lavender,Kampong Bugis,15
Clifford Pier,Serangoon Central,4
Malcolm,Gombak,3
Ridout,Lower Seletar,1
Dover,Tukang,6
Greenwood Park,Kian Teck,2
Punggol Field,Tagore,9
Bedok Reservoir,Robertson Quay,4
Central Subzone,Boon Teck,6
Kranji,Saujana,3
Marina South,Dhoby Ghaut,2
Serangoon North,Ghim Moh,4
Yishun East,Boon Keng,5
Khatib,Benoi Sector,7
Mackenzie,Dairy Farm,8
Admiralty,Ridout,2
Pasir Panjang 1,Central Water Catchment,5
Sembawang Central,Goodwood Park,3
Gul Circle,Woodlands West,2
Pang Sua,Chong Boon,4
Pasir Ris Central,Senoko North,8
Marina East,Oxley,2
Tengah,National University of S'pore,3
Tuas View,Phillip,4
Gali Batu,Pasir Ris Park,4
Teck Whye,Hougang East,3
Pasir Ris Central,Toh Tuck,15
Joo Koon,Simei,11
Leedon Park,Upper Paya Lebar,6
Pasir Ris Wafer Fab Park,Boon Lay Place,1
Mandai West,Hong Kah North,2
Mandai East,Alexandra Hill,5
Kovan,Yuhua East,3
Geylang Bahru,Pasir Panjang 1,10
Macpherson,Holland Road,5
Kallang Way,Joo Koon,8
Mandai West,Frankel,1
Commonwealth,Macpherson,8
Ulu Pandan,Pasir Panjang 2,5
Pasir Ris Drive,Anson,8
Geylang East,Seletar Hills,16
Bukit Merah,Hillcrest,6
Kim Keat,Pasir Ris West,2
Tengah,Institution Hill,2
Newton Circus,Kim Keat,1
Chinatown,Clifford Pier,5
City Terminals,Pioneer Sector,12
Bedok North,Selegie,4
Sembawang East,Xilin,2
Lim Chu Kang,Springleaf,3
Port,Orange Grove,3
Pasir Ris Wafer Fab Park,Henderson Hill,1
Frankel,Ghim Moh,15
Admiralty,Changi West,3
Yishun South,Mountbatten,5
Chatsworth,Bukit Batok Central,8
Marine Parade,Jurong River,8
Nature Reserve,Mountbatten,6
Hougang East,Gul Circle,5
Reservoir View,Rochor Canal,5
Boon Keng,Tengeh,1
Henderson Hill,Kangkar,2
Sennett,Defu Industrial Park,5
Orange Grove,Townsville,4
Yew Tee,Oxley,1
Keat Hong,Tanglin,2
Northshore,Singapore General Hospital,2
Pang Sua,Changi West,2
Tiong Bahru,Plab,2
Woodgrove,Siglap,2
Boon Lay Place,Telok Blangah Rise,3
Penjuru Crescent,Lorong 8 Toa Payoh,2
Queensway,Katong,1
Lorong Halus,Boulevard,5
Tanglin Halt,Flora Drive,1
Sengkang West,Loyang East,1
Pasir Panjang 1,Yishun Central,1
Jurong Port,Redhill,1
Mei Chin,Joo Seng,6
Samulun,Everton Park,2
Punggol Field,Paya Lebar East,3
Bangkit,Ang Mo Kio Town Centre,5
Coronation Road,Paya Lebar East,3
Chong Boon,Mandai East,2
Safti,Pearl's Hill,2
Tanjong Rhu,Bukit Merah,3
Kallang Way,Sembawang Springs,4
Clarke Quay,Tyersall,4
Turf Club,Sentosa,3
Kian Teck,Ang Mo Kio Town Centre,5
Tanglin,Keat Hong,2
Waterway East,Jurong Island and Bukom,5
Airport Road,Airport Road,1
Rochor Canal,Dover,2
Bukit Merah,Hougang East,6
Rochor Canal,Moulmein,8
Fernvale,Bayshore,4
Dhoby Ghaut,Seletar Aerospace Park,3
Toh Guan,Paya Lebar East,1
Yio Chu Kang West,Gul Basin,1
Boon Lay Place,Dairy Farm,7
Tukang,Shangri-La,1
Nee Soon,Straits View,1
Pearl's Hill,Pasir Ris Park,2
Siglap,Bangkit,2
Redhill,Kim Keat,1
Bukit Batok Central,Clifford Pier,2
Maxwell,Potong Pasir,1
Katong,Depot Road,1
Paya Lebar North,Phillip,1
Shangri-La,Pasir Panjang 2,4
Clementi North,Siglap,3
Woodlands South,Paya Lebar East,1
Mandai East,Upper Paya Lebar,4
Tuas View Extension,Nature Reserve,2
International Business Park,Seletar,1
Pang Sua,Anchorvale,4
Serangoon Central,Mandai West,1
Kian Teck,Pei Chun,2
Boon Keng,Tuas Bay,2
Liu Fang,Siglap,1
Cairnhill,Tuas North,1
Malcolm,Fort Canning,2
Bangkit,Pei Chun,2
Compassvale,Pei Chun,1
