,subzone,cases,normalize by sum,normalize by max,lon,lat,area,population,pop_density
232,Sembawang Straits,0,0.0,0.0,103.8835249,1.313763843,2.973680524,1700,571.682124653
233,Sengkang Town Centre,4,0.005747126,0.038095238,103.818387,1.281985412,0.413709781,54680,132169.947415
234,Sengkang West,0,0.0,0.0,103.8270227,1.301821039,0.342389546,10,29.2064991961
235,Senja,0,0.0,0.0,103.8402293,1.296839343,0.201018352,20200,100488.337503
236,Sennett,0,0.0,0.0,103.902201,1.307631725,1.084206006,4540,4187.39609897
237,Senoko North,0,0.0,0.0,103.8519985,1.275970595,1.075884649,20,18.5893534391
238,Senoko South,0,0.0,0.0,103.865471,1.280844113,1.63823955,20,12.2082268127
239,Senoko West,0,0.0,0.0,103.9152622,1.401557433,1.49649941,20,13.3645224758
240,Sentosa,0,0.0,0.0,103.9161188,1.325018063,2.398829821,1470,612.798785112
241,Serangoon Central,2,0.002873563,0.019047619,103.941813,1.368068922,2.555452253,26480,10362.1579972
242,Serangoon Garden,27,0.038793103,0.257142857,103.8043786,1.376001061,37.32844084,39180,1049.60183491
243,Serangoon North,0,0.0,0.0,103.8421903,1.307138487,0.172550725,17490,101361.498191
244,Serangoon North Ind Estate,0,0.0,0.0,103.7564448,1.321675924,0.952743275,20,20.9920138245
245,Shangri-La,14,0.020114943,0.133333333,103.8456382,1.279194276,0.063971266,18510,289348.658506
246,Shipyard,0,0.0,0.0,103.8381917,1.437876198,1.51838507,0,0.0
247,Siglap,10,0.014367816,0.095238095,103.912572,1.372712881,0.612856357,6930,11307.7068074
248,Simei,2,0.002873563,0.019047619,103.8553276,1.362690286,1.08386138,42710,39405.4080975
249,Simpang North,0,0.0,0.0,103.8656077,1.339576806,0.817326521,0,0.0
250,Simpang South,0,0.0,0.0,103.7665466,1.375280396,0.915636694,0,0.0
251,Singapore General Hospital,0,0.0,0.0,103.8238908,1.298462569,1.352654951,10,7.39286836795
252,Singapore Polytechnic,0,0.0,0.0,103.8422603,1.339472076,1.042310073,160,153.50518444
253,Somerset,0,0.0,0.0,103.8539692,1.306935959,0.279648198,130,464.869793297
254,Southern Group,0,0.0,0.0,103.7380004,1.379658123,0.866928751,0,0.0
255,Springleaf,0,0.0,0.0,103.7183051,1.431187478,17.5802577,3880,220.702111778
256,Straits View,0,0.0,0.0,103.7536522,1.356597274,1.09034073,0,0.0
257,Sudong,0,0.0,0.0,103.7088285,1.326549838,1.890403914,0,0.0
258,Sungei Road,0,0.0,0.0,103.8313612,1.374257436,0.898863284,2420,2692.28929814
259,Sunset Way,0,0.0,0.0,103.8459856,1.392755128,1.470403374,6290,4277.73773593
260,Swiss Club,0,0.0,0.0,103.8144278,1.404884804,2.217446348,5550,2502.87904598
261,Tagore,0,0.0,0.0,103.9059536,1.415506596,1.366632873,8350,6109.90717768
262,Tai Seng,0,0.0,0.0,103.7950563,1.308363582,0.461766362,14700,31834.2807309
263,Taman Jurong,0,0.0,0.0,103.8381804,1.36791673,0.691272328,36940,53437.6952523
264,Tampines East,71,0.102011494,0.676190476,103.9683352,1.331939107,7.871890221,138500,17594.2494257
265,Tampines North,0,0.0,0.0,103.7549076,1.382648551,1.006460328,0,0.0
266,Tampines West,2,0.002873563,0.019047619,103.8650652,1.444047982,1.619157761,78110,48241.129976
267,Tanglin,0,0.0,0.0,103.6735852,1.302097645,1.778035337,390,219.343222198
268,Tanglin Halt,0,0.0,0.0,103.8361034,1.458100916,1.548276171,13160,8499.77558687
269,Tanjong Irau,0,0.0,0.0,103.7961414,1.30176514,0.50565037,0,0.0
270,Tanjong Pagar,0,0.0,0.0,103.8727708,1.287990986,1.852962255,520,280.631728249
271,Tanjong Rhu,0,0.0,0.0,103.8457541,1.293751467,0.386952323,11310,29228.4070356
272,Teban Gardens,0,0.0,0.0,103.9111212,1.380891582,0.929364809,19080,20530.1511476
273,Teck Whye,0,0.0,0.0,103.9486368,1.314086272,2.562788797,27040,10551.0060102
274,Telok Blangah Drive,0,0.0,0.0,103.971146,1.376739153,2.125053937,16000,7529.22065714
275,Telok Blangah Rise,0,0.0,0.0,103.8520884,1.309260535,0.249086578,13820,55482.7165356
276,Telok Blangah Way,0,0.0,0.0,103.6524399,1.337763403,2.262042457,10690,4725.81757558
277,Tengah,0,0.0,0.0,103.7622664,1.42070892,3.307454232,10,3.0234734326
278,Tengeh,0,0.0,0.0,103.7548901,1.307987191,1.319267102,0,0.0
279,The Wharves,0,0.0,0.0,103.7841612,1.438975389,0.598563407,0,0.0
280,Tiong Bahru,0,0.0,0.0,103.720068,1.34940949,1.802157052,12190,6764.11636071
281,Tiong Bahru Station,0,0.0,0.0,103.8290464,1.418189678,1.43990569,16670,11577.1471116
282,Toa Payoh Central,0,0.0,0.0,103.7436114,1.31520001,3.202992009,30740,9597.27651946
283,Toa Payoh West,0,0.0,0.0,103.8524769,1.384095432,1.870929356,13360,7140.836161
284,Toh Guan,0,0.0,0.0,103.8254828,1.452254864,1.267823323,16510,13022.319199
285,Toh Tuck,0,0.0,0.0,103.8651528,1.374059838,0.925909465,40,43.2007680146
286,Townsville,0,0.0,0.0,103.897793,1.317339908,2.59155734,23770,9172.09109485
287,Trafalgar,5,0.007183908,0.047619048,103.8750828,1.325756822,0.967863151,44800,46287.5355402
288,Tuas Bay,0,0.0,0.0,103.9197294,1.31485263,4.317917117,20,4.63186287695
289,Tuas North,0,0.0,0.0,103.6945553,1.334099885,2.108328036,20,9.48618984261
290,Tuas Promenade,0,0.0,0.0,103.8456683,1.447848393,3.467340149,10,2.88405508842
291,Tuas View,0,0.0,0.0,103.859361,1.31140824,0.761572749,10,13.1307219345
292,Tuas View Extension,0,0.0,0.0,103.7629662,1.312706618,0.751661012,0,0.0
293,Tukang,0,0.0,0.0,103.8459848,1.276274341,0.146221328,10,68.3894759867
294,Turf Club,0,0.0,0.0,103.6674949,1.31533905,3.276142616,660,201.456431346
295,Tyersall,0,0.0,0.0,103.8479463,1.36470923,0.549057593,3520,6410.98501301
296,Ulu Pandan,0,0.0,0.0,103.7597566,1.433614317,3.669864624,10730,2923.81357335
297,Upper Paya Lebar,0,0.0,0.0,103.9776049,1.365349687,4.872045699,15540,3189.62525396
298,Upper Thomson,4,0.005747126,0.038095238,103.83926,1.373543211,1.051501992,30340,28853.9634074
299,Victoria,0,0.0,0.0,103.8585487,1.270492,1.132733209,2060,1818.61005189
300,Waterway East,0,0.0,0.0,103.7949291,1.428927056,1.583698646,28340,17894.8186081
301,Wenya,0,0.0,0.0,103.8449256,1.305047186,0.546110069,8610,15766.0524659
302,West Coast,0,0.0,0.0,103.8845954,1.374970573,1.335335745,5890,4410.87570827
303,Western Water Catchment,0,0.0,0.0,103.8778529,1.346645826,0.902916713,900,996.769676585
304,Woodgrove,0,0.0,0.0,103.7424823,1.356256899,1.231619166,35850,29108.0238029
305,Woodlands East,3,0.004310345,0.028571429,103.8088676,1.287774727,1.035353002,95510,92248.730448
306,Woodlands Regional Centre,0,0.0,0.0,103.7666061,1.385591922,0.678275722,0,0.0
307,Woodlands South,0,0.0,0.0,103.9733061,1.367857725,0.974777702,35840,36767.357241
308,Woodlands West,0,0.0,0.0,103.83886,1.311619348,0.214614206,32890,153251.737679
309,Woodleigh,0,0.0,0.0,103.8736547,1.332835659,0.871952091,2440,2798.31888149
310,Xilin,0,0.0,0.0,103.8608331,1.322210094,1.383495702,1920,1387.78891559
311,Yew Tee,0,0.0,0.0,103.8973623,1.330368526,1.887183009,43710,23161.5056895
312,Yio Chu Kang,0,0.0,0.0,103.8433844,1.316962281,1.35397565,30,22.1569715822
313,Yio Chu Kang East,0,0.0,0.0,103.8824624,1.409901984,3.935160862,4080,1036.80640845
314,Yio Chu Kang North,0,0.0,0.0,103.8407298,1.2822873,0.093589765,0,0.0
315,Yio Chu Kang West,0,0.0,0.0,103.8974551,1.350428547,1.983945395,26550,13382.4247718
316,Yishun Central,0,0.0,0.0,103.8210974,1.32660303,1.235847614,1490,1205.65026231
317,Yishun East,3,0.004310345,0.028571429,103.8291986,1.386026344,3.350417105,54880,16380.0500893
318,Yishun South,0,0.0,0.0,103.790479,1.439940172,0.940992542,38840,41275.5662414
319,Yishun West,47,0.067528736,0.447619048,103.8571563,1.303956263,0.120752542,57890,479410.197427
320,Yuhua East,0,0.0,0.0,103.9291451,1.340509488,2.390858835,27460,11485.4125212
321,Yuhua West,0,0.0,0.0,103.7720361,1.368879305,1.241905773,20870,16804.8176067
322,Yunnan,0,0.0,0.0,103.7759002,1.278178789,7.638551021,70890,9280.55593333
